date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:56	86345/86345	U-----	200	untouched ('')	application/javascript	etag:W/%2265cbfc26-15149%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/js/lib/jquery-3.0.0.min.js	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/js/lib/jquery-3.0.0.min.js	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:20:56	9769/9769	---M--	200	added ('OK')	image/png	etag:%2265cbfc34-2629%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod21.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod21.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:56	5650/5650	---M--	200	added ('OK')	image/png	etag:%2265cbfc34-1612%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod22.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod22.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:56	27783/27783	---M--	200	added ('OK')	image/png	etag:%2265cbfc2a-6c87%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/banners/c_ban1.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/banners/c_ban1.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:57	18091/18091	---M--	200	added ('OK')	image/png	etag:%2265cbfc2a-46ab%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/banners/c_ban2.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/banners/c_ban2.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:57	7084/7084	U-----	200	untouched ('')	application/javascript	etag:W/%2265cbfc26-1bac%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/js/lib/jquery-migrate-3.0.0.min.js	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/js/lib/jquery-migrate-3.0.0.min.js	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:20:57	9793/9793	---M--	200	added ('OK')	image/png	etag:%2265cbfc35-2641%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod27.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod27.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:57	13299/13299	---M--	200	added ('OK')	image/png	etag:%2265cbfc35-33f3%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod28.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod28.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:57	9136/9136	---M--	200	added ('OK')	image/png	etag:%2265cbfc35-23b0%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod29.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod29.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
18:20:58	8270/8270	---M--	200	added ('OK')	image/png	etag:%2265cbfc35-204e%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod30.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_baby/assets/img/products/prod30.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_baby/index.html)
